34.6,45.2,21.5,23.7,0.552742616033755,13.4764113962186
39.4,49.6,20.3,29.3,0.651877133105802,8.55326904572264
34.7,52.2,20,32.2,0.456521739130435,20.9514174706846
89.8,54.4,19.6,34.8,2.01724137931034,0.0163227189015738
36.5,52.1,19.3,32.8,0.524390243902439,15.3476720281645
21.6,56.6,20,36.6,0.0437158469945356,139.117534631292
26.8,52.2,20,32.2,0.211180124223603,64.5431536464048
29.7,54.6,19.3,35.3,0.294617563739377,44.0221527283893
31.4,55.5,20.3,35.2,0.315340909090909,40.0310926483706
21.6,52.5,19.6,32.9,0.060790273556231,128.639825375355
26,52.7,18.6,34.1,0.217008797653959,62.8407635478498
23.5,54.8,19.3,35.5,0.11830985915493,98.8134486261372
43.3,55.8,20.2,35.6,0.648876404494382,8.67178617064859
18.3,52.8,18.2,34.6,0.00289017341040467,167.761647419765
26,49.5,20.4,29.1,0.192439862542955,70.3354689841134
33,46.6,21.5,25.1,0.458167330677291,20.793900128518
29.6,48.6,20.2,28.4,0.330985915492958,37.2595778998418
33,52.1,19.3,32.8,0.417682926829268,25.0361226485585
29.8,52.8,18.3,34.5,0.333333333333333,36.8606233560881
27.7,54.7,18.2,36.5,0.26027397260274,51.531405704146
26.5,54.5,19.3,35.2,0.204545454545455,66.5371476723919
38.4,54.8,19.6,35.2,0.534090909090909,14.6798661384374
42.3,52.7,18.6,34.1,0.695014662756598,7.01805706549162
29.5,48.2,21.5,26.7,0.299625468164794,43.0226581360004
28.3,52.1,20.6,31.5,0.244444444444444,55.4113852823135
33.3,46.6,21,25.1,0.49003984063745,17.9662232016212
46.5,52.2,21.6,30.6,0.813725490196078,4.0717906285
47,56.6,22.2,34.4,0.72093023255814,6.23163379947905
25.7,54.7,19,35.7,0.187675070028011,71.8892956010373
25.9,55.9,20.6,35.3,0.15014164305949,85.3921613441847
25.6,54.8,19.6,35.2,0.170454545454545,77.7967826021574
44,39.9,21.5,18.4,1.22282608695652,0.623730038885636
28.5,57.4,19.2,38.2,0.243455497382199,55.6632619052236
29.3,52.5,20.5,32,0.275,48.1662425623824
31.9,57.4,19.2,38.2,0.332460732984293,37.0084245435525
31,66.8,24.2,42.6,0.15962441314554,81.7582456947541
29.9,56.6,20.4,36.2,0.262430939226519,51.0241816637563
29.3,55.8,19.6,36.2,0.267955801104972,49.7476315026798
37.3,48.5,20,28.5,0.607017543859649,10.5069611398841
37.7,49.6,21.5,28.1,0.576512455516014,12.0846159143639
43.6,52.4,19.6,32.8,0.731707317073171,5.93113282072047
46.8,64.5,21.5,43,0.588372093023256,11.4449131429153
27,52.5,19.6,32.9,0.224924012158055,60.6006171746641
28.1,54.8,19.6,35.2,0.241477272727273,56.1705402711046
44.6,55.9,20,35.9,0.685236768802229,7.33991656480936
40.8,59.6,21.5,38.1,0.506561679790026,16.6552411610047
32.1,59.9,21.7,38.2,0.272251308900524,48.7772400464462
31.8,64.3,20.3,44,0.261363636363636,51.2745374436385
36,62.5,19.6,42.9,0.382284382284382,29.4488873670992
25,52.1,19.6,32.5,0.166153846153846,79.3463880380359
36.3,52.8,18.2,34.6,0.523121387283237,15.4372394042749
34.8,57.4,20.6,36.8,0.385869565217391,28.9686615687245
26.6,53.2,20,33.2,0.198795180722892,68.3151085289916
27.5,54.9,19,35.9,0.236768802228412,57.3966133023821
35.5,55.7,17.6,38.1,0.469816272965879,19.7122063182346
36.1,53.9,20.9,33,0.460606060606061,20.5626382862016
35.1,54.6,22.3,32.3,0.396284829721362,27.6175263802134
37.7,52.6,19.6,33,0.548484848484849,13.7421372014334
42,57.6,21.6,36,0.566666666666667,12.6427719194257
35.2,56.6,20.8,35.8,0.402234636871508,26.874153418064
32.2,59.6,22.5,37.1,0.261455525606469,51.2529348679179
34,52.8,19.6,33.2,0.433734939759036,23.2593159779065
34.4,54.8,22.3,32.5,0.372307692307692,30.8275529771363
25.3,49.6,21.3,28.3,0.141342756183746,88.9083163186371
35.5,54.4,19.3,35.1,0.461538461538462,20.4749010461962
53.5,57,23.6,33.4,0.895209580838323,2.80218586048601
22.2,64.7,19.6,45.1,0.0576496674057649,130.505993619708
28.6,66.6,20.8,45.8,0.170305676855895,77.8499130660189
29.7,67.5,18.6,48.9,0.226993865030675,60.0281012798944
43.9,64.7,18.6,46.1,0.54880694143167,13.7218535845243
27.9,45.3,21.5,23.8,0.26890756302521,49.5309689276235
29,43.5,20.3,23.2,0.375,30.4492706613924
36.1,48.6,21.5,27.1,0.538745387453875,14.3698410041351
33.3,52.8,19.6,33.2,0.412650602409638,25.6206263830443
43.4,52.8,17.9,34.9,0.730659025787966,5.95971494986564
41.6,53.6,21.6,32,0.625,9.67525032278182
37.1,56.6,21.8,34.8,0.439655172413793,22.636321604376
34.8,43.4,20.2,23.2,0.629310344827586,9.48587667596542
41.3,42.8,18.3,24.5,0.938775510204082,2.29471351477952
39.5,54.7,20.3,34.4,0.558139534883721,13.146962969969
27,58.8,21.6,37.2,0.145161290322581,87.3649372036971
25.2,54.8,22.3,32.5,0.0892307692307692,112.90981092255
28.2,59.9,21,38.9,0.185089974293059,72.7466262142039
22.1,58.9,20,38.9,0.0539845758354756,132.718073572554
24.7,54.5,20.3,34.2,0.128654970760234,94.2349760843916
25.6,55,18.3,36.7,0.198910081743869,68.27912060055
30.7,59.9,20.8,39.1,0.253196930946292,53.231296187765
35.4,56,23.6,32.4,0.364197530864198,31.9957081473945
38.7,54.7,19.6,35.1,0.544159544159544,14.0174433743811
27,55.8,18.3,37.5,0.232,58.6656779963992
