Su ?çeri?i (%),#10 Kalan (%),#200 Geçen (%),LL  (%),PL (%),CU
24.6,0,93.5,56.9,21.5,113.6377031
24,0,94.6,54.7,19.6,95.50895844
44.7,0,95.1,59.9,20.3,9.991641361
23.1,8.5,87.7,42.5,19.6,84.16798004
27.3,5,65.9,48.6,22,67.98942066
25.8,11.3,59.7,52.2,19.3,68.51673878
45.9,0,87.7,58.5,20.4,7.825420684
31,0,95.6,46.6,21.5,29.81295703
26.2,0,89.5,52,20,69.73071156
23.5,0,91.8,52.2,20.3,107.168705
27.7,0,92.4,56.6,21.8,77.94428226
22.3,0,96.6,54.8,19.6,119.4614962
35.6,0,96,53.5,18.2,17.61254508
33.3,0,97.3,57.4,20.3,33.92342312
32.9,0,90.8,48.9,20,21.81775599
35.3,0,94.4,56.6,21.4,27.64678661
34.5,0,89.7,51.8,18.6,18.78417587
29.1,0,90.3,55.7,20.3,54.185545
33.3,0,96.6,58.6,20,34.84775376
35.1,0,94.1,57.8,20.3,27.67473784
36.6,0,93.1,58.6,21.6,26.34100708
29.6,0,96,52.5,19.3,40.80636083
32.1,3.8,61.8,54.4,18.3,29.29837363
35.1,0,96.3,58.2,19.3,26.24857485
40.2,0,93.2,54.7,22.3,13.39262137
39.1,0,94.7,52.5,19.6,11.12992423
40.1,0,97.8,54.8,18.6,11.06777251
34.6,0,95.5,56.6,21.4,30.29483671
35.6,0,97.5,54.7,19.3,20.44910165
34.8,0,95.8,54.5,21.7,27.07995546
43.4,0,95.8,53.2,20.3,6.728458586
37.3,0,96.9,55.8,19.6,17.93690586
52.8,0,96,54.5,22.4,2.181175241
39.9,0,98.6,59.8,22.3,19.63058779
28.7,0,96.5,43.2,18.6,25.72276431
29.3,0,97.7,57.8,23.6,78.98131154
43.5,0,94.6,59.6,21.6,12.00136842
37.4,0,94.8,56.8,24.2,26.40134273
43.3,0,92.3,58.6,20.3,10.73686091
41,3.2,91,57,22.3,14.25478914
34.3,0,94.8,45.2,20,12.50028727
34.6,0,94.4,54.8,20.6,25.86660471
31.7,0,95.2,54.4,18.6,31.58659239
45.2,0,96.7,54.9,19.3,5.986555568
47,0,95.5,55.8,19.6,5.229896488
22.4,0,96.4,56.8,20.3,130.4732655
29.9,0,91,57.8,20.9,55.36588148
41.4,0,88.9,61.5,22.3,18.07815488
31.3,0,97.3,46.6,21.5,28.21824401
39.6,0,93.4,43.8,19,3.725596113
37.5,0,97.4,54.5,23.8,21.82906955
41.1,0,95,52.5,21.5,9.278620607
37.3,0,97,54.8,19.3,16.50471179
28.1,6.3,89.2,57.4,18.5,54.63625276
29.7,0,94.9,56.8,22.2,62.72700114
35.7,0,92.9,54.7,18.3,18.86154757
35.3,0,90.7,55,20,22.76330452
45.7,0,93.8,59.9,22.7,9.894779576
45.3,0,90.1,57.9,21.3,8.328786331
33.1,1.4,94.5,62.6,20,41.32183751
38.9,0,95.1,59.6,20.3,19.27723626
40.5,0,89.2,56.8,19.3,12.62317914
48.4,0,88.9,52.4,18.3,2.932363874
44,0,89,59.6,21.4,11.18545912
40,0,92.4,66.6,21.5,25.76652376
25.6,0,92.5,56,20,83.12263715
32.4,0,94.1,57.4,21.6,42.4460061
38.5,0,95.3,52,18.3,10.79209901
41.7,0,93.8,55.8,18.9,9.912699508
33.9,0,91.3,59.6,21.5,38.04770637
31.9,0,92.5,57.1,19.6,37.60567147
29.5,0,92.4,59.9,21.6,65.82974251
31.7,0,93,57.8,22.3,50.29454181
29.3,0,91.7,54,19.9,47.84156019
27,0,86,56.8,21.5,83.0264198
32.4,0.3,97.3,52.2,19.3,27.23158204
34.5,2.1,87.6,54.7,19.9,24.68296867
34.3,0,98.2,54.8,18.3,22.63662464
32.7,0,96.8,55.6,20.6,34.66316551
33.3,0,95.5,54.7,17.6,24.27311949
36,0,97.6,58.8,20.9,27.20146366
31.7,0,96.2,54,20,34.91866104
35.2,0,94.8,58.6,20.9,29.70014007
33.8,0,93.8,57.5,19.3,29.66316911
36.4,0,95.5,54.7,18.2,17.15582262
36.6,0,97.5,59.6,20.5,25.58169816
27.2,0,94.4,52.5,21.4,72.09679362
30.8,0,97.2,53.5,19.6,37.19565677
33.7,0,97.8,52.7,19.3,23.40080759
21.6,0,97.2,52.5,19.6,128.5338344
19.4,4.9,70.9,54.8,20.3,191.6720799
21.3,0,89.2,54.6,20.3,148.6659072
20.9,4.3,59.7,58.6,21.6,185.4557744
18.9,0,89.2,54.7,19.6,186.3314015
12.3,0,96.3,52.4,19.6,473.1785375
38.7,0,92.5,54.7,18.3,12.91053648
28.3,0,80,56.6,21.5,69.73642276
26,0,95.5,59.6,21.4,97.70269753
38.8,5.9,67.8,52.4,19.6,11.51205445
32.9,0,97,49.6,21.5,26.30607131
37.9,0,93.2,46.6,18.2,6.995619777
35.4,0,91.1,52.2,20,18.84083413
32.4,0,92.4,55.5,21.3,38.20516744
33.6,0,89.1,54.6,19.3,26.37813791
15.9,0,95.4,59.6,21.5,334.2348268
40.5,0,90.5,57.6,20.3,14.08209195
33.3,0,96.4,52.2,19.3,24.01202112
50.5,0,86,67.5,21,9.18729404
51.4,0,96.2,62.8,19.3,5.706852427
20,0,59.4,46,20,170
25,0,93.8,48.6,21.3,91.14210254
30.8,0,94.9,48.9,21.2,34.5269406
41,0,97,42.8,19.6,2.442775595
47.5,0,93.1,52.5,20,3.469096952
51,0,96.1,56.6,22.2,3.614794297
24.7,0,96.3,46,20.3,77.34929444
31.9,0,88.5,47.5,21.6,27.29338819
29.1,0,89.1,42.8,18.3,22.38192204
33.9,0,95.3,46.9,20,15.78552241
34.2,0,95.8,47.5,21.5,17.97727267
36.1,0,95.8,45.8,18.2,8.608709544
20.9,0,92.3,58.9,20.2,156.429109
46.2,0,96.2,54.8,20,5.327803903
47.1,0,97.5,59.6,21.5,7.731518282
42.9,0,97.5,62.3,20.8,14.67894086
45.3,0,83.2,66.8,22.3,15.77642693
27.1,0,97.2,56.6,19.3,64.97274532
22.4,2.4,57.6,64.9,20.3,136.8970202
25.6,0,95.9,57.6,19.3,79.77569843
30,0,97.5,55.8,20.5,49.30208904
20,0,96.7,54.7,19.3,155.2206132
25.4,0,96.4,54.8,20.3,86.13096118
30.1,0,90.4,52.1,19.3,37.38693585
25.6,0,97.1,57.8,20.8,93.60684907
27,0,97.5,55.8,19.3,64.42411983
24.3,0,94.2,62.5,20.9,116.7314363
29.8,3.6,92.1,54.7,20,46.37672376
39.4,0,97.2,56.9,21.6,16.71810385
34.8,0,93.2,52.8,19.3,20.24000123
33.9,0,96.1,52.8,18,20.78626049
39.7,0,95.9,56.6,21.4,15.55790894
26.4,1.6,91.2,57.4,20,77.3789112
34.9,0,93.8,59.6,22.3,35.94795332
28.1,0,92.1,52.8,19.6,52.36349581
39.2,1.7,92.3,57.4,19.3,15.38545957
31,0,96.1,58.6,20.7,48.7057031
29.1,10.4,83.6,49.6,21.2,47.29259098
41.4,0,93.8,57.6,21.6,13.54558628
26.9,0,96.6,57.4,21,80.66230364
46.9,0,93.8,59.6,20.3,7.558216514
