Su ?çeri?i (%),#10 Kalan (%),#200 Geçen (%),LL  (%),PL (%),CU
43.1,0,98.5,59.6,22.2,13.00685767
30.1,0,97.2,56.7,18.6,42.41452838
2.8,29.4,52.8,48.6,22.5,5472.381051
14.8,3.7,75.8,54.7,19.3,305.0524017
22,0,97.3,57.8,20.3,138.0045596
31,0.6,87.9,54.8,19.6,38.32797992
36,0,81.6,54.7,18.6,18.52004776
29.9,0,95.3,54,19,40.58406669
13.2,18.2,54.1,45.3,21.5,845.4202045
42.9,3.4,92.5,57.3,20.3,10.24059816
38.5,0,85.1,59.6,22.2,22.90129526
46.9,0,85,57.9,19.6,6.40633425
47.1,2.6,86.1,57.8,20.5,6.396235483
46,6.3,42.1,38.6,20,0.274269964
12.8,0,67,42.5,21.2,1042.831462
11.5,26.7,43.2,41.5,22.3,2259.796749
16.4,2.8,65.7,47.5,21,377.7400317
12.5,3.5,37.5,40.2,22.3,2109.008201
43.4,9.8,71.3,54.5,20,7.50914741
28.4,0,69.8,55.8,18.3,49.25414673
18.1,3.4,64.7,56.6,21.6,269.2797339
24,1.7,69.8,57.5,20.3,107.5890626
26.4,0,92.3,57.5,20.9,85.16693562
16.2,34.5,50.2,45.8,20.6,379.513346
12.6,1.6,61,48.6,20,558.8520791
15.5,14.2,61,42.8,19.6,383.2337757
17.1,6.2,61,54.6,21.4,308.4376748
15.1,17.2,42.2,38.6,20,571.0636911
14.3,4.8,41.9,40.3,22.2,1265.629712
18.5,5.6,42.2,43.5,19.6,210.0807471
16.2,3.6,32,38.9,21.5,690.0765857
7.7,5.5,35.7,38.9,20.3,3833.7717
9.6,11.5,45.5,40.6,21.3,2763.105036
26.8,11.4,31.4,40.6,20.3,38.97984627
41.9,8.8,42.9,38.5,20.3,0.723991104
16.2,0,69.3,48.6,20,313.2256563
17.9,7.9,65.7,47.6,18.6,189.9614976
17.5,0,62.4,46.6,20.2,272.1094034
15.4,0,63.1,58.6,20.6,319.0050249
22.1,0,47.7,47.2,21.6,155.3940272
24.7,0,46.6,42.5,20.6,71.85861544
23.3,10.3,42.2,37.5,20.1,72.95983907
16.8,1.7,51.4,45.8,20.3,319.6112849
22.1,6,35.4,37.5,19.6,89.42559594
27.6,5.9,43.3,37.9,20.2,24.84940968
23.6,1.9,42.9,47.5,20.3,97.29699129
14.3,5.1,49.7,42,20,559.751562
23,2.2,73,46.6,21.8,136.0797172
18.8,1.4,73.6,48.9,20.1,209.2261652
24.6,2.9,62,46.6,21.4,94.79645535
18,0,59.4,47.9,19.3,209.5301549
9.6,4.1,46.2,40.2,22.2,4253.360153
11.9,0,46.5,38.9,20.3,1356.96029
11.5,2.9,50.4,54.8,18.3,400.4928375
13,5.2,57.8,56.6,21.6,526.3502989
11.1,0.8,35.6,38,20.2,1785.118355
17.6,15.3,47.6,41.5,19.6,258.7458238
17.9,16.7,55.1,45.8,20.3,262.0917739
26.1,6.4,52.6,52.5,18.6,61.44883279
24.2,20.6,61.2,54.7,19.6,93.03836548
13.5,9.1,57.6,56.9,20.7,424.3763594
16.5,2.5,55.4,51.5,19.6,265.8079436
18,0,96.1,43.2,22,404.8971059
17.1,0.7,49.3,42.8,22.6,594.75159
12.7,0,40.5,41.4,19.6,728.9541089
15.6,0,41.6,48.5,21.5,464.4618392
11.8,0,30,38.5,20.3,1456.697746
14.8,2,58.8,43.2,21.9,787.5861707
5,10.1,37,37.8,20.3,9481.480313
17.9,6.2,48.3,39.9,22.2,519.6714021
16.9,0.8,66.5,57.5,21.6,310.4318547
25.3,0,60.9,58.5,20.9,99.24151034
22.2,6.7,77.3,46.5,21.8,157.7974477
27.3,9.4,68,46.6,20.3,49.97839342
23.7,18.9,53.3,48.6,20.8,105.213548
25.9,10.1,53.3,47.5,21.6,79.21542641
30,10.4,68.9,46.6,20.8,32.97199068
23.5,8.8,63.2,57.6,21.6,133.3591456
19.7,20.5,47.9,42.5,23.6,439.1786898
21.7,9.2,56.7,43.6,19.9,119.8771625
12.4,6.2,37.9,35.2,21.5,3608.170315
23.2,0,69,42.5,20.9,104.1710655
25.4,0,96.5,58,20.3,91.24806536
21.5,2.3,74,54.7,21.2,163.1399919
33.1,3.1,83.1,49.6,21.3,24.9775171
19.3,14,48.7,40.6,22.5,383.359727
17.3,2.3,54.9,43.5,21,362.1883753
16.8,12.9,51,47.5,22.6,496.296378
12.7,4.2,59.3,47.5,20.3,614.5924037
19,14.5,50.5,48.9,22.3,300.7910864
28,0,47.4,38.9,21.4,29.99771378
27.5,0,91.2,43.5,20,39.1682139
36.2,0,86.7,57.5,20.3,23.80446722
34.3,0,96.8,52.8,18.6,20.58003601
12.8,0,97.4,45.3,20,629.3915846
9.4,6.8,34.2,40.2,22.2,4476.381891
8.4,7.4,48.7,39.9,21.1,3800.633537
35.9,0,68.9,42.5,23.6,8.520355266
23.1,36.1,38,37.5,21.3,101.9762885
17.1,2.1,38.3,37.8,20,359.6599258
18.7,3.6,61.4,42.5,20,221.7495646
34.5,0,91.9,45.6,21.7,14.47547079
23,1.1,83.7,49.6,22.3,151.0879245
43.6,0,59.9,52.6,18.3,5.715303048
20.7,0,73.2,57.4,20.3,161.7752283
25.3,0,93.7,56.6,21.7,105.7786886
33.8,0,89.4,56,20,29.1556271
8.7,6.1,58.3,57.6,21.2,824.9353171
21.7,15.8,59.2,43,21.5,162.8797464
41.9,0,90.3,48.9,20.3,5.270012714
10.8,7.4,53.7,47.7,18.3,549.5754958
14.2,8.1,56.1,46.8,18.9,368.9379546
32.3,0,67.7,47.5,20.6,22.99466858
8.4,4,30.9,37.5,20,3585.399366
12.4,4.1,40.4,39.6,22.2,2267.276043
15.3,1.3,37.3,37.8,19.9,554.351396
29.3,2.4,84.8,55.8,18.3,44.10640493
25.3,0,93.9,56.6,20.1,88.2809127
25.2,0,88.2,57,22.3,115.7462456
24,0,95.5,56.6,21.4,121.032722
15.1,3.4,34.9,38.5,20,574.8162869
11.3,3.5,39.1,39.6,24.2,8011.599189
11.4,2.1,54.3,43.5,20.3,992.5433036
16.3,14.5,28.5,38.6,21.4,664.8826141
20.9,5.1,56.5,57.4,20.3,157.8132891
15.6,1.9,63,46.5,20,364.852379
14.4,4.3,43.3,41.5,22.3,1128.123065
14.3,1.8,59.8,46,21.7,689.8514186
15.4,1.7,57.1,47.8,20.3,385.8118507
19.7,12,39.7,39.3,21.5,270.6749747
20,10.6,46.4,37.8,20.9,217.183681
24.1,19.6,37.6,39.6,21.5,87.8028068
28.2,11.7,37.4,37.5,20.4,20.85868437
23.2,0,91.1,42.5,23,162.1665416
23.8,0,89.1,48.6,22.5,135.1930043
13.6,6.1,32.9,38.6,20,827.5173096
14.5,4.3,40.6,36.6,18.3,441.8147407
13,0,54,43.5,23.5,1901.784699
21.1,6.8,60.5,54.2,20,146.622398
1.8,8.9,30.1,40.5,22.2,28656.50108
8,4.4,44.2,42.6,21.5,3224.783977
14.5,12,38.9,39.5,20.1,641.299004
36,6.7,59.3,43.5,20,7.42021679
36.6,5.4,60.7,45.8,18.6,8.10107215
36.6,6.9,58.3,47.6,21.2,11.62018095
48.8,0,68.1,47.5,21.9,1.353516275
21.2,6.7,58.6,58.8,20,147.4582591
24.1,7.4,63.6,56.6,21.5,120.9156295
30.4,0,97.9,57.6,21.6,55.2280281
28.5,0,96.2,52,19.7,48.55404976
34.6,0,84.6,42.5,21.5,9.646278102
33.8,4.3,68.3,65.5,18.9,39.06142811
40.9,0,93.9,61.5,19.6,16.40549064
37.2,0,88.4,66.6,20.3,31.71922145
35.9,0,96.1,64.7,18.6,30.25707778
33.8,0,94.6,62,21.2,41.07326792
27.3,0,90,46.6,21.8,61.29773675
24.8,0,95.7,55,20,90.46895056
36.2,0,93.6,56.6,21.7,25.14909246
42.3,0,96.9,49.6,21,5.530507151
37.5,0,95.7,46.6,20.4,8.447070129
41.4,0,98.5,45.8,20,3.746005862
7.1,0,96.8,46.2,21.6,2557.791381
13.6,0,98.6,52.5,19.6,393.3175224
15.7,0,97.2,54.8,20.3,313.8980267
38.5,0,96.5,57.8,20.6,18.58931728
36.4,0,97.4,58.8,20,24.32902633
30.3,7,83.8,47.4,21.6,36.0460208
43,7.4,88.4,45.8,21.3,2.891961993
38.8,0,92.2,48,20,7.748871693
42.5,0,95.3,52.5,19.6,6.919245332
41.8,0,84.7,54.8,20.3,9.673875441
18.2,9.8,73.8,47.5,20.3,242.4774394
22.4,0,97.4,54.7,19.6,117.7878255
34.8,0,95.5,55.8,19.3,24.10878553
34.3,0,98.3,54.7,19.5,24.57938449
33.8,0,97.2,46.9,20.3,16.46857519
19.5,0,52,45.7,19.6,173.0224112
31.5,0,85.2,64.8,19.6,50.64609137
39.6,0,82.4,66.8,19.3,23.81004457
27.2,9.6,64.8,64.5,23.5,112.2489898
43,0,97.4,64,20.2,15.51063881
40.6,0,97.1,57.8,20.6,14.33833301
18.8,1.3,64.5,42.1,18.6,163.4739352
27.2,0,94.7,57.5,20.6,74.6730699
37,0,95.3,59.7,20.3,24.19762293
28.7,0,97.8,54.7,18.6,46.9438059
21.1,0,96.4,58.6,20.3,154.4275182
22,4.1,85.8,48.9,22.6,188.8079804
26.1,0,96.6,55.8,20,77.63984966
25.6,0,93.9,64.6,20.6,100.7986903
33.3,0,93.9,64.5,19.6,41.77844306
29.8,0,96.9,57.4,21.6,59.28026179
25.2,0,97.2,55.9,20.6,93.35665526
26,0,85.6,54.8,20.3,79.5095577
32.6,0,89.6,54.7,19.6,30.94685507
23.8,0,97.5,58,20,107.3233384
13.8,3.8,62.3,56.3,22.3,536.828781
28.5,0,89.2,62.1,19.3,63.25131461
32.8,0,89.3,66.6,20.8,50.94177057
21.2,0,93.9,64.6,19.9,148.7149739
25.8,0,93.6,61.5,20.3,91.99961915
27.7,0,95.4,54.7,19.6,58.81341884
38,0,94.9,48.6,21.5,10.33308437
22.3,0,96.4,52.2,21.6,153.0218298
22.6,0,94.5,56.9,20,122.9420126
34.6,0,97.4,62.1,19.6,33.52989268
40.2,0,95.7,64.5,18.6,19.51760738
30.4,0,78.9,47.4,19.9,29.35952156
25.3,0,92.3,54.5,19.6,80.20508651
23.8,0,96.8,55.9,20.6,112.0387178
31.1,0,95.8,54.6,20,38.87023936
32.4,0,97.8,55.5,19.6,32.97854077
28.7,0,95,54.8,22.3,68.72040734
31.5,0,97.2,57.5,19.3,39.12809742
38.1,0,95.2,55.8,20,16.61558734
35.2,0,92.8,61.6,20.3,32.34328232
26.3,0,90.4,57.5,20.6,83.53811595
29.1,0,86.3,58.9,20.6,61.25322852
29.3,0,97.4,54.6,19.6,47.51633168
28.9,0,94.8,57.5,20.9,62.20517571
23.9,0,96.3,54.1,19.3,92.55615162
24.8,0,94.7,52.2,20.3,88.85118546
24.6,0,96.9,64.6,22,128.3904964
24.8,0,96.3,66.3,21.6,122.305999
23.3,0,96.7,54.6,20.5,116.5272312
27.1,0,93.8,68.5,19.3,81.99069441
30.2,0,95.3,52.5,18.6,35.2307874
38.5,0,97.4,54.5,20.3,14.70369812
26.9,0,97.7,54.7,18,55.72243034
28.2,0,91.2,49.6,21,53.40351404
26.3,0,96.2,44.9,19.3,48.33308677
23.4,0,97.2,45.8,18.2,71.46598699
30.1,0,96.5,46.9,20.3,31.22557006
19.2,8.9,78.1,51.4,19.9,188.2950336
34.3,0,93.3,54.5,20.3,25.86660471
22.7,5.2,92.4,59.6,20.4,129.7913891
24.6,4.9,81,53.6,21.6,110.453338
31.3,0,94.6,57.6,19,39.25768844
32,0,95.2,60.4,22.3,52.70926548
28.9,9.5,64.7,64.5,21.8,79.12323295
39.6,0,83,63.5,18,19.14972954
23.5,0,91.4,48.6,21.5,121.0677421
26.8,0,87.6,49,20.8,63.89087251
27.1,0,97.8,47.5,21.6,64.01169125
25,0,96.3,52.2,18.3,68.49413754
21.4,0,94.3,56.6,20.3,147.8826347
33.1,0,93.1,62.5,18.6,37.21060436
36,0,90.7,64.6,20.6,33.98656735
36.7,0,95.8,55.8,20,19.88987619
35.6,0,96.9,59.6,22.2,32.71523854
37.8,0,97,64.4,19.6,26.23887782
29.7,0,91.8,46.5,20.8,34.56935157
31.3,0,73.2,58.6,20,44.22569422
33,0,77.5,56.6,21.5,37.6688011
32.6,0,85.9,55.8,18.9,30.81853937
30.8,0,82.8,51.5,18.3,30.08570975
41,0,98.2,55,20.2,10.87708434
27.3,0,84.4,56.6,20.1,68.61390834
38.2,0,82.9,59.6,21.4,22.48776863
28.6,0,97.1,55.7,18.3,47.89853259
42.6,0,96.1,54.8,19.6,8.418471341
42.7,0,96.2,52.5,19.6,6.728458586
31.3,0,94.4,51.4,19.6,31.29696374
46.5,0,88.6,46.6,20,1.739446266
38.3,15.8,72.9,47.8,20.6,8.522642546
41,10,83.3,47,20,4.751173397
19,0,98.3,56.3,21.5,236.5652205
42.9,0,84.6,55.2,20.3,8.647849954
35.7,0,97.1,59.9,20,27.82572759
37.9,0,97.7,61.5,21.5,25.7901848
36.8,0,93.6,57.4,18.6,19.6541832
38.5,0,92.2,56.6,20,16.62492217
30.4,5.2,85.6,52.2,21.2,43.41385772
40.2,0,94,56.6,21.4,14.5739398
46.6,0,84.1,55.8,19.3,5.449954296
47.8,0,95,56.3,20.2,5.049380574
25,0,50,58.6,20.2,95.66553096
23.4,6.3,78.2,46.6,20.8,106.9413561
46.6,0,98.2,47,21.1,1.83548819
47.8,0,98.1,54.5,20.2,4.198488141
13,0,97.9,61.5,21.5,451.7807906
25,0,89.6,54.7,18.3,72.90687415
23.4,0,85.6,55.5,21.3,128.171804
46.6,0,93.6,58,21.6,7.219497496
43.5,0,83.1,55.6,2.3,4.857115694
30.7,0,88.2,51.2,19.6,33.78926632
35.8,0,98.3,63.6,19.6,31.25994848
32.7,0,94.2,45.6,20.5,18.17730225
33,0,95.4,52.2,20,26.54517866
36.8,0,96.9,58,21.6,24.90624266
32.3,0,97,54.7,19.3,31.39686511
29.4,0,96.3,54.7,18.2,41.44792992
23.3,0,97.3,55.8,19.6,106.2379554
28.4,0,97.1,56.6,21.5,68.82855426
35,0,96.6,57.8,19.3,26.053413
37.1,0,97.3,55.5,18,16.3317004
29.6,0,97.7,55,20,48.14488833
45,26.3,52.2,43.5,21.5,1.249410125
31.4,0,88.5,52.2,20.3,34.3065891
43.2,0,89.6,55.9,20,8.70071068
32,0,97.3,56.6,24.3,56.78758395
33.9,0,97,52,23.3,31.09415589
23.4,0,94.3,51.4,19.6,98.11790779
28.7,0,90.9,64.6,20.3,71.06920432
31.1,0,93.9,64.8,19.6,52.75010707
28.7,0,96.3,61.5,19.6,62.60572179
28.8,0,97.6,56.6,20.8,60.82324632
25.7,0,95.5,57.8,19.9,84.09218544
33.8,0,95,54.8,22.3,33.39061577
33.1,0,97.2,57.5,19.3,32.27169831
27.4,0,95.2,55.8,20,65.69737926
34.1,0,92.8,61.6,20.3,36.5584299
34.4,0,90.4,57.5,20.6,30.43677571
28.7,0,95,54.8,22.3,68.72040734
31.5,0,97.2,57.5,19.3,39.12809742
38.1,0,95.2,55.8,20,16.61558734
35.2,0,92.8,61.6,20.3,32.34328232
26.3,0,90.4,57.5,20.6,83.53811595
29.1,0,86.3,58.9,20.6,61.25322852
29.3,0,97.4,54.6,19.6,47.51633168
28.9,0,94.8,57.5,20.9,62.20517571
23.9,0,96.3,54.1,19.3,92.55615162
24.8,0,94.7,52.2,20.3,88.85118546
24.6,0,96.9,64.6,22,128.3904964
24.8,0,96.3,66.3,21.6,122.305999
23.3,0,96.7,54.6,20.5,116.5272312
27.1,0,93.8,68.5,19.3,81.99069441
30.2,0,95.3,52.5,18.6,35.2307874
38.5,0,97.4,54.5,20.3,14.70369812
26.9,0,97.7,54.7,18,55.72243034
28.2,0,91.2,49.6,21,53.40351404
26.3,0,96.2,44.9,19.3,48.33308677
23.4,0,97.2,45.8,18.2,71.46598699
30.1,0,96.5,46.9,20.3,31.22557006
19.2,8.9,78.1,51.4,19.9,188.2950336
34.3,0,93.3,54.5,20.3,25.86660471
22.7,5.2,92.4,59.6,20.4,129.7913891
24.6,4.9,81,53.6,21.6,110.453338
31.3,0,94.6,57.6,19,39.25768844
32,0,95.2,60.4,22.3,52.70926548
28.9,9.5,64.7,64.5,21.8,79.12323295
39.6,0,83,63.5,18,19.14972954
23.5,0,91.4,48.6,21.5,121.0677421
26.8,0,87.6,49,20.8,63.89087251
27.1,0,97.8,47.5,21.6,64.01169125
25,0,96.3,52.2,18.3,68.49413754
21.4,0,94.3,56.6,20.3,147.8826347
33.1,0,93.1,62.5,18.6,37.21060436
36,0,90.7,64.6,20.6,33.98656735
36.7,0,95.8,55.8,20,19.88987619
35.6,0,96.9,59.6,22.2,32.71523854
37.8,0,97,64.4,19.6,26.23887782
29.7,0,91.8,46.5,20.8,34.56935157
31.3,0,73.2,58.6,20,44.22569422
33,0,77.5,56.6,21.5,37.6688011
32.6,0,85.9,55.8,18.9,30.81853937
30.8,0,82.8,51.5,18.3,30.08570975
41,0,98.2,55,20.2,10.87708434
27.3,0,84.4,56.6,20.1,68.61390834
38.2,0,82.9,59.6,21.4,22.48776863
28.6,0,97.1,55.7,18.3,47.89853259
42.6,0,96.1,54.8,19.6,8.418471341
42.7,0,96.2,52.5,19.6,6.728458586
31.3,0,94.4,51.4,19.6,31.29696374
46.5,0,88.6,46.6,20,1.739446266
38.3,15.8,72.9,47.8,20.6,8.522642546
41,10,83.3,47,20,4.751173397
19,0,98.3,56.3,21.5,236.5652205
42.9,0,84.6,55.2,20.3,8.647849954
35.7,0,97.1,59.9,20,27.82572759
37.9,0,97.7,61.5,21.5,25.7901848
36.8,0,93.6,57.4,18.6,19.6541832
38.5,0,92.2,56.6,20,16.62492217
30.4,5.2,85.6,52.2,21.2,43.41385772
40.2,0,94,56.6,21.4,14.5739398
46.6,0,84.1,55.8,19.3,5.449954296
47.8,0,95,56.3,20.2,5.049380574
25,0,50,58.6,20.2,95.66553096
23.4,6.3,78.2,46.6,20.8,106.9413561
46.6,0,98.2,47,21.1,1.83548819
43.5,0,98.1,54.5,20.2,7.473333017
30.7,0,97.9,61.5,21.5,59.02187483
35.8,0,89.6,54.7,18.3,18.62471156
32.7,0,85.6,55.5,21.3,36.69439748
33,0,93.6,58,21.6,40.25718391
36.8,0,83.1,55.6,20.3,19.80391667
32.3,0,88.2,51.2,19.6,26.76930632
29.4,0,98.3,63.6,19.6,61.02961339
23.3,0,94.2,45.6,20.5,101.768867
28.4,0,95.4,52.2,20,51.20938716
35,0,96.9,58,21.6,31.26713117
37.1,0,97,54.7,19.3,16.82799566
29.6,0,96.3,54.7,18.2,40.41637695
45,0,97.3,55.8,19.6,6.743025973
31.4,0,97.1,56.6,21.5,46.45560212
43.2,0,96.6,57.8,19.3,9.781668773
32,0,97.3,55.5,18,30.52796547
33.9,0,97.7,55,20,27.36133022
23.4,26.3,52.2,43.5,21.5,114.2703236
28.7,0,88.5,52.2,20.3,50.63478354
31.1,0,89.6,55.9,20,41.00367853
28.7,0,97.3,56.6,24.3,90.85256441
28.8,0,97,52,23.3,70.41150951
25.7,0,94.3,51.4,19.6,70.35121048
33.8,0,90.9,64.6,20.3,41.85193001
33.1,0,93.9,64.8,19.6,43.03643502
27.4,0,96.3,61.5,19.6,72.20885199
34.1,0,97.6,56.6,20.8,30.78529311
34.4,0,95.5,57.8,19.9,29.2560518
27.9,0.2,97.6,64.8,18.3,65.77366198
24.8,0,94,52.4,20.3,89.21110129
30.1,0,96.9,54.9,19.6,43.27903556
27.4,0,95.52,55.8,20.3,67.75469977
32.1,0,94.6,54.7,19.6,33.04240221
27.9,0,93.8,52.5,21.6,66.55519485
31.7,0.4,96.7,66.6,20,53.56964395
35.8,0,97.2,55.6,20.3,22.55998662
38.4,0,96.4,54.4,19.6,14.16818031
39,0,94.9,52,20.3,11.27417963
35,0,96.2,54,19.6,21.68692683
39.7,0,96.9,54.5,18.6,11.38683189
32.3,0,88,54.5,20.6,34.75600726
37.4,0,93.4,58.9,20,21.72423002
22.3,2.1,90.5,45.3,21.5,145.6479808
23.9,2.8,84.1,47.5,20.6,96.69335474
28.7,0,92.6,43.5,20.7,33.84971905
40.8,0,95.4,55.8,20,11.74526109
34.9,0,95.2,55.2,20,24.26029919
31.5,0,94.4,56.4,19.6,38.41517898
35.7,0,96.5,54.8,19.6,20.73948381
6.5,0,51.6,47.9,20.3,1695.206707
39.5,0,95.6,55.8,20,13.8803148
27.4,0,94.9,56.6,22.2,84.81918001
17.2,0,97.8,54.4,19.6,233.4591052
21,0,95.8,62.3,21.5,179.8575486
17.6,0,93.6,57.5,20.2,234.2546152
21.9,0,92.7,59.6,21.5,161.9859302
43,0,91.9,62.8,24.2,18.09464838
43.3,0,97.7,46.9,20.3,3.186003233
33.7,0,96,67.4,19.6,43.77379545
29.5,0,97.3,54.8,19.6,46.62713084
43.8,0,93.3,52.8,18.5,5.715303048
33.1,0,96.5,55.8,20,31.58659239
46.3,0,97.1,56.6,20.7,6.397553831
28,0,96.3,57.4,19.6,61.17154945
32.8,0,95.9,55,20,31.61675335
19.5,0,96.2,54.7,20,181.648588
33.1,0,98.2,61.5,21.6,45.15591896
21.1,0,95.9,62,18.6,130.4316001
18.4,0,96.5,55.6,21.6,262.0917739
45.2,0,96.2,64.8,19.6,12.56303576
29,0,98.1,64.6,19.6,65.04043655
26.2,0,93.1,58.9,22.3,104.1347074
27.6,0,89,57.6,20.6,71.20894198
32.5,0,96.9,54.6,20.6,33.98656735
26,0,94,58.9,19.6,80.38010483
27.9,0,97.9,55.5,18.3,51.87436545
31.6,0,92.3,56.6,20.4,40.96596422
31.7,0,88.6,57.6,21.6,46.77630128
31.1,0,94.4,49.6,20.6,32.1513321
34.4,0,97.4,55.8,18.6,24.10062011
26.8,0,97,49.6,21.4,70.45954418
37.1,0,94.6,42.8,20.3,5.482098093
37.3,0,92.4,46.5,20.2,8.544040471
38.9,0,97.4,47.6,21.5,7.920463568
40.4,0,95.6,47.6,21,5.937327213
36.3,0,92.7,55.8,19.3,19.95649838
42,0,84.5,55.5,20.5,10.07822477
30.4,0,97.8,54.1,19.6,40.2837331
35.6,0,96.6,47.6,20.6,13.20384206
26.3,0,90.8,44.9,18.3,42.62680298
41.8,0,95,48.6,21.3,5.375997458
31.9,0,93.8,54.4,19.6,33.45177818
27,0,93.9,54.5,20.6,71.33962348
37.1,0,96.8,48.9,20.3,11.4041885
47.3,0,96.2,58.9,20,6.738622477
41.4,0,96.4,50.5,21.5,7.239658217
23.2,4.5,77.5,56.6,21.7,139.5065007
46.2,0,96.2,47.8,20.3,2.234201735
35.8,0,86.4,55.8,21.6,25.18012386
39.3,0,97.6,58.6,20,17.04806847
40.4,0,97.1,56.6,21.5,14.28388785
32.5,0,82.9,49.6,21,26.74479479
27.3,0,92.9,49.9,22.3,73.88807936
30.2,0,92.2,47.5,19,27.88995452
44.1,0,90.1,51.5,21.3,5.27675241
42,0,95,54.8,18.6,8.693938661
41.5,1.1,93.6,55.8,19.3,10.36339936
31.7,0,89.7,54.6,19.6,34.66316551
32.8,0,94,64.7,19.6,44.23854943
25.6,0,95.7,55.8,18.3,69.43732979
42.6,0,95.4,54.6,20.6,8.667985943
37.2,0,94.7,47.6,20,9.673875441
48.9,0,94.3,46.6,19.6,1.155420286
30.8,0,95.7,65.2,21,61.31317113
28.8,0,94.7,59.6,21.3,69.06917539
44.7,0,92.1,62.5,18.6,11.03674391
48.7,0,96.4,64.5,19.9,8.720728986
47.3,0,91.8,60.5,20.3,7.741276033
34.6,0,94.6,55.8,19,24.19148281
47.1,0,89.2,48.6,20.3,2.181617031
38.9,0,88.9,47.6,20,7.287241231
46.5,0,94.7,53.2,20,4.325347077
48,0,96.7,55.8,19.6,4.605875808
46.9,0,95.6,44,20,0.980688584
29.1,0,96.4,65.8,19,63.00199076
21.1,0,88.7,55,20,147.1190317
46.2,0,89.2,56.3,22.4,6.730401231
33.7,0,79.5,57.5,22.8,40.08457047
39.6,0,94.8,56.6,20.3,14.73642018
41.9,4.4,88.3,52.8,18.2,7.280926207
31.2,0.7,95,66.4,18.3,49.51355728
50.8,0,96.4,57.4,20.3,3.874898147
40.9,0,95,52.8,19.3,8.759473604
55.1,1.1,81.8,51.4,18.3,1.022375973
45.1,0,95.1,55.7,19.3,6.525365278
46.8,0,96.9,62.5,18,8.662717406
32.7,0,97.8,61.2,22.2,49.27738765
40.9,0,92.6,56.6,21.5,13.37800455
43.8,0,93.8,57,20.4,8.981076604
33.8,0,94.9,55.8,22.3,35.05287682
39.6,0,96.8,54,19.3,11.53067846
34.3,0,35,38,20.3,4.471650611
10.9,0,66.4,45.5,20.9,1102.706901
33.3,0,91.8,47.5,21,20.10413415
29.6,0,68.8,46.6,20.3,33.42657098
39.2,0,88.8,47.8,20.6,7.3194585
46,0,96.4,47.5,21,2.218044044
27.6,0,98.1,57.4,18.6,58.49251281
31.7,0,91.5,52.1,19.3,29.87297891
43.3,0,87.5,54.6,20.3,7.780107466
42.3,0,90.1,57.4,18.3,10.10026621
56.5,0,96.1,55.9,22.3,1.574820101
30.6,0,86.1,54.7,20.1,42.0975447
5.7,0,52.3,45.6,21.5,3467.722732
25.4,0,97.5,47.9,20.6,75.72369226
25,0,63.3,46.5,22.8,110.9232467
22.5,0,98.3,54.8,22.9,180.0928781
64.3,0,94.8,54.7,19.9,0.480677573
19,0,96.9,42.6,21,260.2597579
15.5,15.2,50.3,48.6,20.3,370.8989136
46.3,7.4,73.9,47.5,20.3,2.094250053
19.1,0,43.5,38.5,20.3,230.2265199
38.3,0,91.5,52.5,19.2,12.15369894
35.3,0,92.2,54.5,20,22.10955688
45.5,0,95.5,52.1,19.3,4.313670516
36.1,0,88.9,52.2,18.2,15.09381157
34.4,0,95.6,57.4,19.3,27.46439259
39.3,0,95.5,52.8,18.3,10.34071228
37.6,0,91.3,55.8,13.3,12.25523867
46.9,0,89.4,54.8,8.6,3.753819726
14.8,4,66.4,47.4,20,406.9541893
32.1,0,89.9,46.6,20.8,22.67535497
44.3,0,95.8,52.8,19.6,5.550367368
48.3,0,92.4,54.7,20,3.99323789
48,4,75.7,46.8,20.6,1.384875449
30.5,0,84.8,57.4,23.5,65.762148
24.5,0,90.9,54.5,19.6,89.12323981
36.5,0,97.1,52.8,18.6,15.30907406
37.5,0,90.4,54.8,17.3,14.27041747
36.3,0,97.7,48.6,21.3,13.57986212
13,0,57.7,42.2,21.6,1159.782391
24.1,0,97.9,67.4,22.3,141.4894923
36.1,0,94.5,52.1,20.3,17.29644207
32,0,98,57.4,21.3,43.4888638
43.5,0,96.1,52.2,19.6,5.834306828
33.8,0,93.4,52.8,18.9,22.51494161
42.6,0,92.3,52.8,19.6,7.024344243
41.1,0,91.1,54.9,20.2,10.6491547
45.3,0,88.7,55.8,20.8,6.794628003
35.4,0,88.5,54.7,19.3,20.98745668
40.4,0,88.9,54.4,18.3,10.17591788
11.2,0,97.6,54.1,19,472.4418502
12.4,0,94.8,52.1,18.2,373.4325818
42.2,0,85.9,52.8,18.6,7.112533809
46.7,0,81.7,46.6,20.8,1.679418791
46.3,0,92.1,55.8,19.6,5.716361716
20.4,4.3,63.4,52.1,18.3,127.7441267
28.1,7,78.4,54.5,20.9,63.4458226
31.7,6.6,80.9,54.8,19.6,34.97775849
32.5,0,85.6,57.4,19.9,36.24707511
32.5,0,91.1,54.5,18.3,27.98211728
48.1,0,84.3,55.5,22.3,4.7658232
41,0,92.9,52.8,21.3,9.576108722
47.2,0,74,54,20.6,4.361016741
47,0,73.9,45.6,21.5,1.308763992
46.2,0,84.1,42.7,18.6,0.87659943
40,0,78.3,45.8,20.6,4.927815418
42.9,0,81.3,47.6,21,3.853466246
28.8,0,87.7,52,21,53.43677014
15.2,0,37.7,35.2,21.5,1409.383393
